@relation training

@attribute 'preferred position' {top,jungle,mid,adc,support}
@attribute 'current rank(%of top)' numeric
@attribute 'recent P/kill' numeric
@attribute 'highest champ gold' numeric
@attribute 'highest champ cs' numeric
@attribute 'avg turrent' numeric
@attribute 'avg dmg' numeric
@attribute 'number of seasons' numeric
@attribute 'number of recent teammates' numeric
@attribute '# of games played with most played champion' numeric
@attribute 'overall winrate' {high,medium,low}

@data
adc,17.2,54,13209,195.5,1.86,130238,3,9,0,high
adc,7.30,51,13418,207.4,2.11,164052,4,2,31,medium
adc,23.1,52,13170,189.3,1.29,148300,3,15,3,medium
top,8.5,44,11701,159.7,1.09,109228,3,5,18,medium
jungle,8.49,50,13635,116.8,2.04,188909,3,9,13,medium
adc,7.73,54,13478,190.1,1.80,144068,4,14,3,medium
top,6.57,47,12746,200.1,2.75,152944,3,12,8,low
top,10.53,47,10689,153.7,1.14,100547,6,4,10,low
support,16.3,55,12453,187.4,0.65,136752,5,6,12,high
adc,10.2,52,13939,22.4,1.66,171742,1,8,20,medium
jungle,19.52,58,11773,20.9,0.33,128488,3,11,5,medium
top,7.1,42,13850,200.8,1.58,150206,3,13,10,high
adc,22.0,48,13203,179.8,1.56,153309,5,5,8,low
adc,46.4,41,13550,186.6,1.53,146728,2,9,18,medium
top,21.1,42,12011,39.3,0.37,128047,3,7,18,medium
top,21.3,50,12685,175.6,1.48,154205,5,2,21,medium
mid,37.6,47,14519,205.3,3.13,198848,4,8,2,medium
mid,17.7,44,13274,37.8,0.86,143638,2,2,8,medium
adc,32.1,46,15735,235.8,1.29,277450,2,9,4,high
top,18.2,44,11203,130.4,1.13,112662,2,2,4,medium
top,17.6,46,12096,86.6,1.31,134081,3,3,22,medium
adc,81.0,50,15505,96.8,1.41,219577,1,13,1,high
support,76.0,33,14713,202.2,1.00,208354,1,9,1,low
jungle,10.64,51,8786,41.2,0.45,23683,5,8,2,medium
adc,17.01,64,15262,229.3,3.00,175694,6,2,8,high
jungle,10.67,45,11499,135.0,0.69,120139,3,0,15,medium
top,7.34,57,12769,143.5,1.24,132301,3,2,7,medium
support,11.6,58,9277,11.6,0.26,11766,3,4,1,medium
mid,11.9,51,13561,39.2,0.41,149783,3,16,4,high
adc,3.97,55,13175,210.8,1.61,180532,6,4,25,medium
mid,13.8,48,12442,26.0,0.66,138865,5,9,6,medium
top,13.9,43,10999,185.5,1.4,137220,1,3,10,high
mid,5.56,51,12419,173.3,0.73,122784,4,5,14,medium
jungle,5.98,42,11913,53.9,0.83,137506,4,2,1,medium
support,53.0,53,9669,15.0,0.30,18768,2,19,0,medium
top,5.25,45,11392,169.6,0.42,106593,3,9,0,high
adc,12.2,54,12652,167.8,2.0,128100,6,19,4,medium
top,21.1,46,11956,43.7,0.52,134655,1,17,5,medium
adc,5.65,55,12817,202.2,1.32,142128,5,10,15,low
mid,43.3,52,14188,182.8,2.40,171338,1,17,2,medium
adc,33.8,47,13004,179.0,1.69,142891,3,16,4,medium
support,42.0,46,9919,27.9,0.18,23435,4,14,4,low
mid,3.80,50,12583,182.0,1.01,140573,4,7,0,high
mid,26.9,48,8743,10.3,0.08,11306,4,12,2,low
jungle,52.0,45,12901,191.0,2.05,163442,3,10,6,medium
mid,38.48,48,13933,169.6,1.33,133941,3,2,11,low
adc,41.2,45,11321,164.5,0.67,101949,1,6,11,low
mid,17.9,48,12733,191.2,0.95,151207,4,4,16,medium
support,26,42,12783,196.2,1.38,150345,5,4,3,medium
